"",8.000
54421.0000,0.0000E+00
54422.0000,-3.2450E+02
54423.0000,0.0000E+00
54424.0000,0.0000E+00
54425.0000,0.0000E+00
54426.0000,0.0000E+00
54427.0000,0.0000E+00
54428.0000,0.0000E+00
54429.0000,0.0000E+00
54430.0000,0.0000E+00
54431.0000,0.0000E+00
54432.0000,0.0000E+00
54433.0000,0.0000E+00
54434.0000,0.0000E+00
54435.0000,0.0000E+00
54436.0000,0.0000E+00
54437.0000,0.0000E+00
54438.0000,0.0000E+00
54439.0000,0.0000E+00
54440.0000,0.0000E+00
54441.0000,0.0000E+00
54442.0000,0.0000E+00
54443.0000,0.0000E+00
54444.0000,0.0000E+00
54445.0000,0.0000E+00
54446.0000,0.0000E+00
54447.0000,0.0000E+00
54448.0000,0.0000E+00
54449.0000,0.0000E+00
54450.0000,0.0000E+00
54451.0000,0.0000E+00
54452.0000,0.0000E+00
54453.0000,0.0000E+00
54454.0000,0.0000E+00
54455.0000,0.0000E+00
54456.0000,0.0000E+00
54457.0000,0.0000E+00
54458.0000,0.0000E+00
54459.0000,0.0000E+00
54460.0000,0.0000E+00
54461.0000,0.0000E+00
54462.0000,0.0000E+00
54463.0000,0.0000E+00
54464.0000,0.0000E+00
54465.0000,0.0000E+00
54466.0000,0.0000E+00
54467.0000,0.0000E+00
54468.0000,0.0000E+00
54469.0000,0.0000E+00
54470.0000,0.0000E+00
54471.0000,0.0000E+00
54472.0000,0.0000E+00
54473.0000,0.0000E+00
54474.0000,0.0000E+00
54475.0000,0.0000E+00
54476.0000,0.0000E+00
54477.0000,0.0000E+00
54478.0000,0.0000E+00
54479.0000,0.0000E+00
54480.0000,0.0000E+00
54481.0000,0.0000E+00
54482.0000,0.0000E+00
54483.0000,0.0000E+00
54484.0000,0.0000E+00
54485.0000,0.0000E+00
54486.0000,0.0000E+00
54487.0000,0.0000E+00
54488.0000,0.0000E+00
54489.0000,0.0000E+00
54490.0000,0.0000E+00
54491.0000,0.0000E+00
54492.0000,0.0000E+00
54493.0000,0.0000E+00
54494.0000,0.0000E+00
54495.0000,0.0000E+00
54496.0000,0.0000E+00
54497.0000,-2.5255E+02
54498.0000,-2.5255E+02
54499.0000,-2.5255E+02
54500.0000,0.0000E+00
54501.0000,0.0000E+00
54502.0000,0.0000E+00
54503.0000,0.0000E+00
54504.0000,0.0000E+00
54505.0000,0.0000E+00
54506.0000,0.0000E+00
54507.0000,0.0000E+00
54508.0000,0.0000E+00
54509.0000,0.0000E+00
54510.0000,0.0000E+00
54511.0000,-2.5255E+02
54512.0000,-2.5255E+02
54513.0000,-2.5256E+02
54514.0000,-2.5256E+02
54515.0000,-3.0932E+02
54516.0000,-3.0932E+02
54517.0000,-2.5251E+02
54518.0000,-3.0932E+02
54519.0000,-3.0932E+02
54520.0000,-3.0932E+02
54521.0000,-3.0932E+02
54522.0000,-3.0932E+02
54523.0000,-3.0932E+02
54524.0000,-3.0932E+02
54525.0000,-3.0932E+02
54526.0000,-3.0932E+02
54527.0000,-3.0932E+02
54528.0000,-3.0932E+02
54529.0000,0.0000E+00
54530.0000,0.0000E+00
54531.0000,0.0000E+00
54532.0000,-2.5251E+02
54533.0000,-2.5251E+02
54534.0000,-2.5251E+02
54535.0000,-3.0932E+02
54536.0000,-3.0932E+02
54537.0000,-3.0932E+02
54538.0000,-3.0932E+02
54539.0000,-3.0932E+02
54540.0000,-3.0932E+02
54541.0000,-3.0932E+02
54542.0000,-3.0932E+02
54543.0000,-3.0932E+02
54544.0000,-3.0932E+02
54545.0000,-3.0932E+02
54546.0000,-3.0932E+02
54547.0000,-3.0932E+02
54548.0000,-3.0932E+02
54549.0000,-3.0617E+02
54550.0000,-3.2318E+02
54551.0000,-3.2920E+02
54552.0000,-3.3272E+02
54553.0000,-3.3951E+02
54554.0000,-3.3742E+02
54555.0000,-3.5281E+02
54556.0000,-3.5323E+02
54557.0000,-3.5544E+02
54558.0000,-3.5559E+02
54559.0000,-3.6429E+02
54560.0000,-3.7252E+02
54561.0000,-3.7772E+02
54562.0000,-3.8500E+02
54563.0000,-3.8317E+02
54564.0000,-3.7828E+02
54565.0000,-3.7527E+02
54566.0000,-3.6987E+02
54567.0000,-3.7435E+02
54568.0000,-3.7264E+02
54569.0000,-3.7456E+02
54570.0000,-3.7667E+02
54571.0000,-3.7641E+02
54572.0000,-3.7969E+02
54573.0000,-3.8254E+02
54574.0000,-3.8454E+02
54575.0000,-3.8570E+02
54576.0000,-3.8802E+02
54577.0000,-3.9165E+02
54578.0000,-3.9449E+02
54579.0000,-3.9272E+02
54580.0000,-3.8941E+02
54581.0000,-3.9104E+02
54582.0000,-3.9358E+02
54583.0000,-3.8828E+02
54584.0000,-3.8118E+02
54585.0000,-3.8021E+02
54586.0000,-3.8144E+02
54587.0000,-3.8361E+02
54588.0000,-3.9009E+02
54589.0000,-3.9701E+02
54590.0000,-3.8732E+02
54591.0000,-3.8616E+02
54592.0000,-3.8708E+02
54593.0000,-3.9081E+02
54594.0000,-3.9498E+02
54595.0000,-3.9825E+02
54596.0000,-3.9998E+02
54597.0000,-4.0041E+02
54598.0000,-4.0153E+02
54599.0000,-4.0492E+02
54600.0000,-4.0704E+02
54601.0000,-4.0789E+02
54602.0000,-4.0406E+02
54603.0000,-4.0761E+02
54604.0000,-4.0987E+02
54605.0000,-4.1297E+02
54606.0000,-4.1383E+02
54607.0000,-4.0888E+02
54608.0000,-4.0956E+02
54609.0000,-4.0876E+02
54610.0000,-4.0498E+02
54611.0000,-4.0708E+02
54612.0000,-4.0952E+02
54613.0000,-4.0618E+02
54614.0000,-4.0969E+02
54615.0000,-4.0818E+02
54616.0000,-4.1085E+02
54617.0000,-4.0430E+02
54618.0000,-4.0282E+02
54619.0000,-4.0337E+02
54620.0000,-4.0340E+02
54621.0000,-3.9907E+02
54622.0000,-3.9640E+02
54623.0000,-3.9680E+02
54624.0000,-3.9862E+02
54625.0000,-3.9821E+02
54626.0000,-3.9928E+02
54627.0000,-3.9834E+02
54628.0000,-3.9512E+02
54629.0000,-3.9890E+02
54630.0000,-4.0038E+02
54631.0000,-3.9510E+02
54632.0000,-3.9536E+02
54633.0000,-3.9548E+02
54634.0000,-3.9411E+02
54635.0000,-3.9608E+02
54636.0000,-3.9601E+02
54637.0000,-3.9573E+02
54638.0000,-3.9272E+02
54639.0000,-3.9344E+02
54640.0000,-3.9578E+02
54641.0000,-3.9855E+02
54642.0000,-3.9925E+02
54643.0000,-4.0003E+02
54644.0000,-3.9595E+02
54645.0000,-3.9759E+02
54646.0000,-3.9454E+02
54647.0000,-3.9872E+02
54648.0000,-4.0042E+02
54649.0000,-3.9916E+02
54650.0000,-4.0048E+02
54651.0000,-3.9639E+02
54652.0000,-3.9240E+02
54653.0000,-3.9315E+02
54654.0000,-3.9421E+02
54655.0000,-3.9242E+02
54656.0000,-3.9176E+02
54657.0000,-3.8742E+02
54658.0000,-3.8585E+02
54659.0000,-3.8376E+02
54660.0000,-3.8050E+02
54661.0000,-3.7637E+02
54662.0000,-3.7410E+02
54663.0000,-3.7566E+02
54664.0000,-3.7384E+02
54665.0000,-3.7396E+02
54666.0000,-3.7429E+02
54667.0000,-3.7342E+02
54668.0000,-3.7334E+02
54669.0000,-3.7432E+02
54670.0000,-3.7544E+02
54671.0000,-3.7475E+02
54672.0000,-3.7488E+02
54673.0000,-3.7343E+02
54674.0000,-3.7173E+02
54675.0000,-3.7109E+02
54676.0000,-3.7176E+02
54677.0000,-3.7205E+02
54678.0000,-3.7086E+02
54679.0000,-3.6875E+02
54680.0000,-3.6604E+02
54681.0000,-3.5753E+02
54682.0000,-3.6107E+02
54683.0000,-3.6133E+02
54684.0000,-3.5783E+02
54685.0000,-3.5719E+02
54686.0000,-3.5849E+02
54687.0000,-3.5890E+02
54688.0000,-3.5713E+02
54689.0000,-3.5403E+02
54690.0000,-3.5265E+02
54691.0000,-3.5054E+02
54692.0000,-3.4614E+02
54693.0000,-3.4551E+02
54694.0000,-3.4475E+02
54695.0000,-3.4341E+02
54696.0000,-3.4161E+02
54697.0000,-3.4007E+02
54698.0000,-3.3970E+02
54699.0000,-3.3979E+02
54700.0000,-3.4031E+02
54701.0000,-3.4043E+02
54702.0000,-3.3500E+02
54703.0000,-3.3165E+02
54704.0000,-3.2806E+02
54705.0000,-3.2626E+02
54706.0000,-3.2767E+02
54707.0000,-3.2640E+02
54708.0000,-3.3002E+02
54709.0000,-3.2873E+02
54710.0000,-3.2473E+02
54711.0000,-3.2289E+02
